model,horizon_minutes,camera_id,label,MAE,RMSE,n
STGCN,120,2701,moderate,13.722609,17.073238,30
STGCN,120,2702,congested,6.89363,9.20141,20
STGCN,120,2702,free,10.306137,11.686878,89
STGCN,120,2702,moderate,9.363507,11.330208,50
STGCN,120,2704,congested,12.409164,14.512528,13
STGCN,120,2704,free,5.907047,6.741597,105
STGCN,120,2704,moderate,7.017722,7.925942,44
STGCN,120,4703,congested,12.063644,15.322228,22
STGCN,120,4703,free,11.301496,14.347954,83
STGCN,120,4703,moderate,16.376828,20.050462,38
STGCN,120,4712,congested,6.468931,8.845156,12
STGCN,120,4712,free,3.204539,3.906916,111
STGCN,120,4712,moderate,5.349798,7.204781,28
STGCN,120,4713,congested,8.232882,10.545085,22
STGCN,120,4713,free,6.654502,7.716392,82
STGCN,120,4713,moderate,5.280985,6.741623,33
STGCN,120,4798,congested,6.164924,6.897433,6
STGCN,120,4798,free,3.239016,3.928391,48
STGCN,120,4798,moderate,5.210287,6.084292,28
STGCN,120,4799,congested,7.880673,8.756249,20
STGCN,120,4799,free,5.609615,6.889178,56
STGCN,120,4799,moderate,6.3201,7.826547,47
